country	cluster
Afghanistan	0
Albania	3
Algeria	4
Angola	4
Armenia	2
Australia	1
Austria	3
Azerbaijan	2
Bahamas	1
Bahrain	0
Bangladesh	0
Belarus	2
Belgium	3
Belize	1
Bhutan	0
Botswana	4
Bulgaria	3
Burundi	4
Canada	1
Chile	1
China	1
Croatia	3
Cuba	1
Cyprus	3
Denmark	3
Dominica	1
Ecuador	1
Egypt	0
England	3
Eritrea	4
Estonia	3
Fiji	1
Finland	3
France	3
Gabon	4
Gambia	4
Georgia	3
Germany	3
Ghana	4
Greece	3
Greenland	1
Guinea	4
Guyana	1
Honduras	1
Hungary	3
Indonesia	0
Iran	0
Iraq	0
Ireland	3
Italy	3
Jamaica	1
Japan	1
Jordan	0
Kazakhstan	2
Kenya	4
Kyrgyzstan	2
Laos	1
Latvia	3
Lebanon	0
Liberia	4
Libya	0
Liechtenstein	3
Lithuania	3
Macedonia	3
Madagascar	4
Malawi	4
Mali	4
Malta	3
Mauritania	4
Moldova	2
Montenegro	3
Morocco	0
Mozambique	4
Namibia	4
Nepal	0
Nicaragua	1
Niger	4
Nigeria	4
Norway	3
Oman	0
Pakistan	0
Peru	1
Philippines	1
Poland	3
Portugal	3
Qatar	0
Romania	3
Russia	2
Rwanda	4
Samoa	1
Senegal	4
Serbia	3
Slovakia	3
Slovenia	3
Somalia	4
Spain	3
Sudan	4
Suriname	1
Sweden	3
Switzerland	3
Syria	0
Taiwan	1
Tajikistan	2
Thailand	0
Tunisia	0
Turkey	3
Turkmenistan	2
Tuvalu	1
Uganda	4
Ukraine	2
Uruguay	1
Uzbekistan	2
Venezuela	1
Vietnam	1
Zambia	4
Zimbabwe	4
